participant_id,age,sex,education_level,background_SES,social.ideology,social.ideology.scale,social.identity,social.identity.scale,political.interest,political.interest.scale
sub-0734,21.75,female,high,4.0,1.75,0.0794031468829401,3,-0.24066282671439,5.33333333333333,0.608898215441253
sub-0701,25.75,female,high,6.0,2.0,0.497679833195258,3,-0.24066282671439,1.33333333333333,-1.78957541161925
sub-0675,23.25,female,low,3.0,3.25,2.58906326475685,4,0.530097854191498,2.66666666666667,-0.990084202599084
sub-0352,20.75,female,high,5.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0480,24.75,female,high,4.5,1.0,-1.17542691205401,4,0.530097854191498,4.66666666666667,0.209152610931169
sub-0523,23.5,female,high,5.0,2.75,1.75250989213221,1,-1.78218418852617,1.0,-1.98944821387429
sub-0838,25.25,male,high,2.0,2.75,1.75250989213221,4,0.530097854191498,3.0,-0.790211400344042
sub-0424,24.75,female,low,3.0,1.75,0.0794031468829401,1,-1.78218418852617,6.33333333333333,1.20851662220638
sub-0641,23.25,male,high,3.5,1.75,0.0794031468829401,2,-1.01142350762028,4.0,-0.190592993578915
sub-0817,21.75,female,high,4.0,1.0,-1.17542691205401,1,-1.78218418852617,6.33333333333333,1.20851662220638
sub-0662,21.5,male,high,3.0,1.0,-1.17542691205401,2,-1.01142350762028,5.66666666666667,0.808771017696296
sub-0121,22.75,female,medium,3.5,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0474,23.0,male,medium,5.0,4.0,3.8438933236938,5,1.30085853509739,3.66666666666667,-0.390465795833958
sub-0003,25.25,female,high,3.0,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0574,20.5,male,medium,4.0,1.5,-0.338873539429378,4,0.530097854191498,2.33333333333333,-1.18995700485413
sub-0536,23.75,female,medium,3.5,1.25,-0.757150225741696,5,1.30085853509739,2.66666666666667,-0.990084202599084
sub-0232,25.5,female,high,6.0,2.5,1.33423320581989,3,-0.24066282671439,,
sub-0402,23.0,male,high,3.5,2.75,1.75250989213221,5,1.30085853509739,,
sub-0272,22.75,female,low,4.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0540,24.0,male,medium,4.5,1.25,-0.757150225741696,2,-1.01142350762028,4.0,-0.190592993578915
sub-0316,21.25,male,low,4.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0896,20.75,male,medium,2.0,1.5,-0.338873539429378,6,2.07161921600328,3.66666666666667,-0.390465795833958
sub-0458,21.5,female,medium,3.5,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0783,25.0,male,high,4.0,1.75,0.0794031468829401,1,-1.78218418852617,6.0,1.00864381995134
sub-0866,22.0,female,medium,5.0,2.5,1.33423320581989,4,0.530097854191498,2.66666666666667,-0.990084202599084
sub-0820,22.25,female,low,3.0,1.5,-0.338873539429378,4,0.530097854191498,3.66666666666667,-0.390465795833958
sub-0455,22.75,male,medium,4.0,2.0,0.497679833195258,5,1.30085853509739,,
sub-0727,20.25,female,medium,4.0,1.25,-0.757150225741696,4,0.530097854191498,2.0,-1.38982980710917
sub-0070,23.75,female,medium,3.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0191,24.75,female,high,5.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0497,25.5,female,high,6.0,1.75,0.0794031468829401,2,-1.01142350762028,6.0,1.00864381995134
sub-0872,21.5,female,high,5.0,1.0,-1.17542691205401,4,0.530097854191498,2.66666666666667,-0.990084202599084
sub-0550,21.5,female,high,5.0,1.5,-0.338873539429378,2,-1.01142350762028,4.66666666666667,0.209152610931169
sub-0124,21.25,female,high,4.0,2.25,0.915956519507576,5,1.30085853509739,,
sub-0025,23.0,female,high,3.5,1.0,-1.17542691205401,7,2.84237989690916,,
sub-0086,22.25,female,medium,3.5,3.5,3.00733995106917,4,0.530097854191498,,
sub-0211,20.0,female,high,5.0,3.0,2.17078657844453,4,0.530097854191498,,
sub-0133,23.25,female,medium,2.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0209,26.0,female,low,3.5,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0083,24.5,male,high,5.0,3.75,3.42561663738148,5,1.30085853509739,,
sub-0122,24.75,male,medium,4.0,1.25,-0.757150225741696,1,-1.78218418852617,,
sub-0080,20.5,female,high,3.5,1.5,-0.338873539429378,6,2.07161921600328,,
sub-0114,23.75,male,high,5.0,4.25,4.26217001000612,4,0.530097854191498,,
sub-0829,21.25,male,medium,5.0,2.25,0.915956519507576,4,0.530097854191498,6.33333333333333,1.20851662220638
sub-0890,23.75,female,high,4.0,3.0,2.17078657844453,4,0.530097854191498,3.0,-0.790211400344042
sub-0519,24.5,female,high,5.0,1.75,0.0794031468829401,3,-0.24066282671439,5.0,0.409025413186211
sub-0237,23.0,female,high,6.0,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0154,21.0,female,medium,4.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0831,25.5,male,medium,4.0,2.25,0.915956519507576,4,0.530097854191498,3.0,-0.790211400344042
sub-0247,23.25,male,low,2.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0085,22.0,male,high,3.0,2.25,0.915956519507576,2,-1.01142350762028,,
sub-0772,20.0,female,medium,2.5,2.0,0.497679833195258,4,0.530097854191498,1.0,-1.98944821387429
sub-0836,21.0,male,medium,4.0,1.5,-0.338873539429378,2,-1.01142350762028,6.33333333333333,1.20851662220638
sub-0765,21.5,female,high,5.0,1.25,-0.757150225741696,2,-1.01142350762028,1.33333333333333,-1.78957541161925
sub-0907,20.75,female,high,3.0,2.0,0.497679833195258,6,2.07161921600328,5.66666666666667,0.808771017696296
sub-0545,22.0,male,high,6.0,1.75,0.0794031468829401,2,-1.01142350762028,7.0,1.60826222671646
sub-0054,21.5,male,medium,4.5,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0855,25.5,female,high,4.0,1.5,-0.338873539429378,3,-0.24066282671439,5.66666666666667,0.808771017696296
sub-0759,20.75,male,high,5.0,2.0,0.497679833195258,3,-0.24066282671439,1.0,-1.98944821387429
sub-0325,24.75,female,high,5.0,2.25,0.915956519507576,4,0.530097854191498,,
sub-0776,21.75,male,high,5.0,2.25,0.915956519507576,4,0.530097854191498,3.66666666666667,-0.390465795833958
sub-0744,23.5,male,high,6.0,2.25,0.915956519507576,4,0.530097854191498,3.33333333333333,-0.590338598089
sub-0413,23.0,male,high,6.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0839,23.75,female,high,4.5,1.5,-0.338873539429378,4,0.530097854191498,4.66666666666667,0.209152610931169
sub-0436,23.75,female,high,4.0,2.75,1.75250989213221,3,-0.24066282671439,3.66666666666667,-0.390465795833958
sub-0092,22.75,female,high,6.0,2.5,1.33423320581989,2,-1.01142350762028,,
sub-0533,20.75,male,high,5.5,1.75,0.0794031468829401,3,-0.24066282671439,4.33333333333333,0.0092798086761266
sub-0692,21.25,male,medium,3.5,1.0,-1.17542691205401,3,-0.24066282671439,6.33333333333333,1.20851662220638
sub-0042,23.75,male,medium,2.0,2.25,0.915956519507576,2,-1.01142350762028,,
sub-0354,21.0,female,medium,4.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0058,24.5,male,medium,4.0,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0052,22.5,female,high,6.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0920,20.75,male,low,3.5,1.5,-0.338873539429378,3,-0.24066282671439,3.0,-0.790211400344042
sub-0483,20.75,female,medium,3.0,1.0,-1.17542691205401,1,-1.78218418852617,7.0,1.60826222671646
sub-0690,25.75,male,low,4.0,2.0,0.497679833195258,5,1.30085853509739,3.66666666666667,-0.390465795833958
sub-0625,26.0,male,medium,6.0,1.5,-0.338873539429378,1,-1.78218418852617,6.33333333333333,1.20851662220638
sub-0427,20.5,male,medium,3.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0378,25.5,male,high,3.0,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0294,21.25,male,medium,3.5,2.0,0.497679833195258,4,0.530097854191498,,
sub-0892,21.5,male,medium,4.0,1.0,-1.17542691205401,1,-1.78218418852617,3.0,-0.790211400344042
sub-0282,20.0,male,low,4.0,1.25,-0.757150225741696,6,2.07161921600328,,
sub-0815,21.5,female,low,2.0,1.5,-0.338873539429378,5,1.30085853509739,5.66666666666667,0.808771017696296
sub-0571,22.75,female,high,6.0,1.0,-1.17542691205401,3,-0.24066282671439,4.66666666666667,0.209152610931169
sub-0061,25.75,female,medium,3.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0256,23.25,male,low,3.0,2.75,1.75250989213221,7,2.84237989690916,,
sub-0194,24.5,male,medium,3.0,1.5,-0.338873539429378,6,2.07161921600328,,
sub-0241,20.5,female,high,3.0,2.0,0.497679833195258,2,-1.01142350762028,,
sub-0327,24.75,female,high,3.5,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0848,20.75,male,high,3.0,1.75,0.0794031468829401,4,0.530097854191498,6.33333333333333,1.20851662220638
sub-0454,21.0,male,low,3.0,1.0,-1.17542691205401,3,-0.24066282671439,4.0,-0.190592993578915
sub-0374,25.75,female,medium,3.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0265,24.5,male,medium,5.0,2.0,0.497679833195258,4,0.530097854191498,,
sub-0392,22.25,female,high,4.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0341,22.5,female,low,2.0,2.5,1.33423320581989,4,0.530097854191498,,
sub-0053,21.25,male,high,3.5,1.25,-0.757150225741696,5,1.30085853509739,,
sub-0281,26.0,male,medium,5.0,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0236,20.25,female,medium,3.0,1.5,-0.338873539429378,1,-1.78218418852617,,
sub-0619,23.75,male,high,5.0,1.25,-0.757150225741696,4,0.530097854191498,2.0,-1.38982980710917
sub-0259,23.5,female,medium,2.5,1.75,0.0794031468829401,1,-1.78218418852617,,
sub-0308,20.25,female,medium,3.5,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0228,24.0,male,high,4.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0029,25.75,male,high,5.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0444,21.0,male,medium,3.5,1.25,-0.757150225741696,2,-1.01142350762028,7.0,1.60826222671646
sub-0778,24.25,male,high,3.5,3.75,3.42561663738148,3,-0.24066282671439,4.66666666666667,0.209152610931169
sub-0067,21.0,female,high,5.0,2.25,0.915956519507576,3,-0.24066282671439,,
sub-0419,24.25,male,high,3.5,2.0,0.497679833195258,3,-0.24066282671439,,
sub-0041,24.75,male,low,4.5,1.25,-0.757150225741696,5,1.30085853509739,,
sub-0179,20.5,male,medium,2.0,1.75,0.0794031468829401,2,-1.01142350762028,,
sub-0878,23.25,female,low,3.5,2.0,0.497679833195258,4,0.530097854191498,1.66666666666667,-1.58970260936421
sub-0380,25.0,female,high,3.5,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0534,21.75,male,high,6.0,1.0,-1.17542691205401,3,-0.24066282671439,6.0,1.00864381995134
sub-0576,24.0,male,medium,3.5,1.5,-0.338873539429378,4,0.530097854191498,2.0,-1.38982980710917
sub-0162,23.5,female,medium,3.0,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0367,25.75,male,low,4.0,2.0,0.497679833195258,4,0.530097854191498,,
sub-0670,22.25,female,high,5.5,2.25,0.915956519507576,3,-0.24066282671439,2.66666666666667,-0.990084202599084
sub-0639,26.0,male,high,4.0,1.5,-0.338873539429378,4,0.530097854191498,6.33333333333333,1.20851662220638
sub-0263,21.0,female,high,6.0,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0617,23.25,female,medium,4.0,1.75,0.0794031468829401,2,-1.01142350762028,3.66666666666667,-0.390465795833958
sub-0788,23.0,female,medium,4.5,1.5,-0.338873539429378,4,0.530097854191498,2.66666666666667,-0.990084202599084
sub-0901,26.0,female,medium,4.5,1.5,-0.338873539429378,3,-0.24066282671439,4.0,-0.190592993578915
sub-0377,21.75,female,medium,4.5,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0811,23.75,female,medium,2.0,1.5,-0.338873539429378,3,-0.24066282671439,4.0,-0.190592993578915
sub-0298,22.75,female,medium,3.5,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0784,22.0,female,medium,3.0,1.5,-0.338873539429378,4,0.530097854191498,3.66666666666667,-0.390465795833958
sub-0033,25.75,female,medium,4.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0254,20.5,female,medium,2.5,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0558,23.25,female,high,5.0,1.0,-1.17542691205401,3,-0.24066282671439,3.33333333333333,-0.590338598089
sub-0469,21.5,male,medium,6.0,1.75,0.0794031468829401,2,-1.01142350762028,2.33333333333333,-1.18995700485413
sub-0397,22.25,male,medium,4.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0439,21.5,male,medium,3.0,1.0,-1.17542691205401,2,-1.01142350762028,5.0,0.409025413186211
sub-0050,22.5,female,high,5.0,2.0,0.497679833195258,5,1.30085853509739,,
sub-0736,24.0,male,high,4.0,2.0,0.497679833195258,4,0.530097854191498,3.33333333333333,-0.590338598089
sub-0527,24.0,female,high,3.0,2.5,1.33423320581989,4,0.530097854191498,5.66666666666667,0.808771017696296
sub-0842,23.75,male,high,5.0,1.5,-0.338873539429378,3,-0.24066282671439,4.0,-0.190592993578915
sub-0074,24.75,female,high,5.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0699,24.5,female,high,3.5,1.25,-0.757150225741696,4,0.530097854191498,2.33333333333333,-1.18995700485413
sub-0883,21.75,female,high,5.0,1.0,-1.17542691205401,1,-1.78218418852617,5.0,0.409025413186211
sub-0792,21.5,female,high,6.0,2.75,1.75250989213221,3,-0.24066282671439,6.0,1.00864381995134
sub-0828,23.75,male,medium,3.5,2.25,0.915956519507576,4,0.530097854191498,4.0,-0.190592993578915
sub-0384,22.25,female,medium,3.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0509,23.75,female,high,2.5,1.75,0.0794031468829401,4,0.530097854191498,3.0,-0.790211400344042
sub-0812,22.5,male,medium,6.0,1.25,-0.757150225741696,5,1.30085853509739,5.66666666666667,0.808771017696296
sub-0774,20.5,female,medium,4.0,1.25,-0.757150225741696,4,0.530097854191498,5.33333333333333,0.608898215441253
sub-0830,25.25,female,high,2.0,2.0,0.497679833195258,3,-0.24066282671439,4.33333333333333,0.0092798086761266
sub-0470,22.0,male,medium,2.0,2.0,0.497679833195258,2,-1.01142350762028,5.0,0.409025413186211
sub-0159,20.25,male,medium,6.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0712,21.0,female,medium,4.0,1.25,-0.757150225741696,3,-0.24066282671439,2.66666666666667,-0.990084202599084
sub-0130,21.75,female,medium,5.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0206,20.25,male,medium,4.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0762,25.25,female,low,2.0,1.0,-1.17542691205401,4,0.530097854191498,2.0,-1.38982980710917
sub-0075,23.5,male,high,2.0,2.5,1.33423320581989,4,0.530097854191498,,
sub-0825,23.5,female,high,6.0,1.75,0.0794031468829401,3,-0.24066282671439,5.0,0.409025413186211
sub-0621,22.5,female,low,2.5,1.0,-1.17542691205401,2,-1.01142350762028,4.66666666666667,0.209152610931169
sub-0516,23.5,male,high,5.5,1.5,-0.338873539429378,3,-0.24066282671439,1.66666666666667,-1.58970260936421
sub-0400,21.75,female,high,3.5,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0278,24.75,female,medium,4.5,2.0,0.497679833195258,5,1.30085853509739,,
sub-0818,22.75,female,medium,2.5,1.25,-0.757150225741696,2,-1.01142350762028,5.33333333333333,0.608898215441253
sub-0599,25.5,female,low,3.5,1.5,-0.338873539429378,2,-1.01142350762028,7.0,1.60826222671646
sub-0551,22.25,male,medium,5.5,3.0,2.17078657844453,4,0.530097854191498,5.0,0.409025413186211
sub-0223,24.25,female,high,6.0,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0739,21.25,male,high,5.0,3.5,3.00733995106917,5,1.30085853509739,4.33333333333333,0.0092798086761266
sub-0583,21.25,male,medium,2.5,1.25,-0.757150225741696,2,-1.01142350762028,5.66666666666667,0.808771017696296
sub-0347,22.5,male,medium,2.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0432,25.5,female,high,4.5,1.0,-1.17542691205401,4,0.530097854191498,4.33333333333333,0.0092798086761266
sub-0789,23.0,male,medium,3.0,1.5,-0.338873539429378,3,-0.24066282671439,5.33333333333333,0.608898215441253
sub-0800,21.5,female,high,5.0,1.25,-0.757150225741696,3,-0.24066282671439,6.33333333333333,1.20851662220638
sub-0810,20.25,male,medium,3.0,1.25,-0.757150225741696,3,-0.24066282671439,4.0,-0.190592993578915
sub-0879,25.75,male,medium,2.0,1.25,-0.757150225741696,2,-1.01142350762028,6.66666666666667,1.40838942446142
sub-0864,21.25,male,medium,5.0,2.25,0.915956519507576,4,0.530097854191498,5.33333333333333,0.608898215441253
sub-0524,25.0,female,high,4.5,1.0,-1.17542691205401,1,-1.78218418852617,7.0,1.60826222671646
sub-0395,21.75,female,high,6.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0835,22.25,female,high,3.5,1.75,0.0794031468829401,5,1.30085853509739,1.33333333333333,-1.78957541161925
sub-0373,24.0,male,medium,4.0,2.5,1.33423320581989,4,0.530097854191498,,
sub-0644,23.75,female,medium,2.0,1.75,0.0794031468829401,4,0.530097854191498,5.33333333333333,0.608898215441253
sub-0260,21.5,female,medium,3.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0013,23.5,male,medium,2.0,3.5,3.00733995106917,3,-0.24066282671439,,
sub-0131,21.0,female,medium,4.0,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0022,23.5,female,high,3.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0132,23.75,male,high,4.0,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0801,21.75,female,high,6.0,1.25,-0.757150225741696,6,2.07161921600328,6.66666666666667,1.40838942446142
sub-0035,21.25,female,high,4.5,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0556,22.0,male,low,4.0,1.5,-0.338873539429378,3,-0.24066282671439,5.66666666666667,0.808771017696296
sub-0569,22.0,female,high,4.0,1.5,-0.338873539429378,4,0.530097854191498,2.0,-1.38982980710917
sub-0490,25.0,female,medium,5.0,1.0,-1.17542691205401,2,-1.01142350762028,4.0,-0.190592993578915
sub-0135,23.5,male,high,4.0,3.0,2.17078657844453,4,0.530097854191498,,
sub-0077,25.25,male,medium,3.5,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0072,21.25,female,medium,5.0,1.25,-0.757150225741696,1,-1.78218418852617,,
sub-0916,23.75,male,medium,4.0,2.0,0.497679833195258,3,-0.24066282671439,3.66666666666667,-0.390465795833958
sub-0487,24.25,female,medium,2.5,1.0,-1.17542691205401,3,-0.24066282671439,6.66666666666667,1.40838942446142
sub-0127,25.25,female,medium,2.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0493,24.5,male,medium,4.0,2.5,1.33423320581989,3,-0.24066282671439,5.33333333333333,0.608898215441253
sub-0906,22.0,male,medium,4.0,2.75,1.75250989213221,3,-0.24066282671439,5.0,0.409025413186211
sub-0588,23.0,female,medium,4.0,2.5,1.33423320581989,4,0.530097854191498,5.66666666666667,0.808771017696296
sub-0105,22.5,male,high,2.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0205,23.75,female,high,3.5,1.5,-0.338873539429378,6,2.07161921600328,,
sub-0420,23.25,male,high,5.0,2.0,0.497679833195258,1,-1.78218418852617,4.33333333333333,0.0092798086761266
sub-0671,25.0,female,medium,3.5,1.5,-0.338873539429378,4,0.530097854191498,3.0,-0.790211400344042
sub-0452,20.75,female,high,5.0,1.0,-1.17542691205401,5,1.30085853509739,1.33333333333333,-1.78957541161925
sub-0802,23.0,male,high,2.0,1.25,-0.757150225741696,4,0.530097854191498,6.0,1.00864381995134
sub-0091,20.5,female,medium,4.5,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0301,22.0,female,medium,3.5,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0056,20.0,male,medium,2.0,1.5,-0.338873539429378,5,1.30085853509739,,
sub-0813,25.0,male,medium,5.0,1.75,0.0794031468829401,4,0.530097854191498,5.33333333333333,0.608898215441253
sub-0494,24.5,female,medium,3.0,2.0,0.497679833195258,3,-0.24066282671439,3.66666666666667,-0.390465795833958
sub-0106,23.0,male,high,3.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0634,24.25,male,low,2.0,2.5,1.33423320581989,5,1.30085853509739,3.66666666666667,-0.390465795833958
sub-0686,20.25,male,high,6.0,2.0,0.497679833195258,4,0.530097854191498,1.66666666666667,-1.58970260936421
sub-0169,23.5,female,medium,2.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0769,20.25,female,high,5.5,2.5,1.33423320581989,4,0.530097854191498,1.0,-1.98944821387429
sub-0657,20.5,female,high,5.0,1.5,-0.338873539429378,2,-1.01142350762028,4.66666666666667,0.209152610931169
sub-0428,23.75,female,high,5.0,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0884,20.75,female,medium,4.5,2.0,0.497679833195258,3,-0.24066282671439,3.33333333333333,-0.590338598089
